Date,Anomaly
1942-02-01,0.0845
1942-03-01,0.089
1942-04-01,0.094
1942-05-01,0.0965
1942-06-01,0.09916666666666667
1942-07-01,0.09983333333333334
1942-08-01,0.09933333333333333
1942-09-01,0.098
1942-10-01,0.09666666666666668
1942-11-01,0.0965
1942-12-01,0.09833333333333334
1943-01-01,0.09766666666666667
1943-02-01,0.09816666666666668
1943-03-01,0.09616666666666668
1943-04-01,0.09699999999999999
1943-05-01,0.09833333333333334
1943-06-01,0.09966666666666665
1943-07-01,0.1015
1943-08-01,0.10233333333333333
1943-09-01,0.10233333333333335
1943-10-01,0.10466666666666667
1943-11-01,0.107
1943-12-01,0.11216666666666668
1944-01-01,0.1185
1944-02-01,0.12416666666666668
1944-03-01,0.13283333333333333
1944-04-01,0.13799999999999998
1944-05-01,0.142
1944-06-01,0.14550000000000002
1944-07-01,0.14750000000000002
1944-08-01,0.14900000000000002
1944-09-01,0.15483333333333335
1944-10-01,0.15966666666666668
1944-11-01,0.1615
1944-12-01,0.15683333333333332
1945-01-01,0.15816666666666668
1945-02-01,0.15750000000000003
1945-03-01,0.15666666666666668
1945-04-01,0.15766666666666665
1945-05-01,0.1575
1945-06-01,0.15833333333333333
1945-07-01,0.15866666666666665
1945-08-01,0.16366666666666668
1945-09-01,0.1655
1945-10-01,0.1648333333333333
1945-11-01,0.16366666666666668
1945-12-01,0.15766666666666668
1946-01-01,0.158
1946-02-01,0.1531666666666667
1946-03-01,0.15016666666666667
1946-04-01,0.14633333333333332
1946-05-01,0.14283333333333334
1946-06-01,0.13783333333333334
1946-07-01,0.13266666666666665
1946-08-01,0.1265
1946-09-01,0.12400000000000001
1946-10-01,0.11766666666666666
1946-11-01,0.11333333333333334
1946-12-01,0.10533333333333333
1947-01-01,0.10033333333333333
1947-02-01,0.10016666666666667
1947-03-01,0.09966666666666665
1947-04-01,0.09883333333333334
1947-05-01,0.097
1947-06-01,0.09616666666666668
1947-07-01,0.09583333333333334
1947-08-01,0.09366666666666666
1947-09-01,0.09083333333333334
1947-10-01,0.091
1947-11-01,0.089
1947-12-01,0.08600000000000001
1948-01-01,0.08633333333333333
1948-02-01,0.08349999999999999
