Date,Anomaly,Year,Predicted_linear,Predicted_poly
2012-12-31,0.655,2012,0.6918485633857507,0.7641245667145995
2013-12-31,0.6791666666666667,2013,0.7033011648223635,0.7928446103433089
2014-12-31,0.755,2014,0.7147537662589798,0.8223255870798312
2015-12-31,0.9166666666666666,2015,0.7262063676955925,0.8525790320891247
2016-12-31,1.03,2016,0.7376589691322089,0.8836164805652515
2017-12-31,0.9391666666666666,2017,0.7491115705688216,0.9154494676877221
2018-12-31,0.8741666666666666,2018,0.7605641720054344,0.9480895286578743
2019-12-31,0.9866666666666667,2019,0.7720167734420507,0.9815481986188388
2020-12-31,1.02,2020,0.7834693748786634,1.0158370127646776
2021-12-31,0.8666666666666667,2021,0.7949219763152797,1.050967506289453
2022-12-31,0.8991666666666668,2022,0.8063745777518925,1.0869512143581233
2023-12-31,1.1883333333333332,2023,0.8178271791885052,1.1237996721647505
2024-12-31,1.2866666666666666,2024,0.8292797806251215,1.1615244148742931
2025-12-31,1.2825,2025,0.8407323820617343,1.2001369776808133
