Date,Anomaly
1925-01-01,
1925-02-01,
1925-03-01,
1925-04-01,
1925-05-01,
1925-06-01,
1925-07-01,
1925-08-01,
1925-09-01,
1925-10-01,
1925-11-01,
1925-12-01,-0.20333333333333334
1926-01-01,-0.15416666666666667
1926-02-01,-0.12083333333333333
1926-03-01,-0.09249999999999999
1926-04-01,-0.07666666666666667
1926-05-01,-0.07583333333333332
1926-06-01,-0.06666666666666667
1926-07-01,-0.06666666666666667
1926-08-01,-0.06333333333333334
1926-09-01,-0.055
1926-10-01,-0.045000000000000005
1926-11-01,-0.04833333333333333
1926-12-01,-0.07166666666666667
1927-01-01,-0.1075
1927-02-01,-0.12333333333333334
1927-03-01,-0.16
1927-04-01,-0.18583333333333332
1927-05-01,-0.18749999999999997
1927-06-01,-0.18833333333333332
1927-07-01,-0.18416666666666667
1927-08-01,-0.17416666666666666
1927-09-01,-0.1691666666666667
1927-10-01,-0.17
1927-11-01,-0.165
1927-12-01,-0.16749999999999998
1928-01-01,-0.1525
1928-02-01,-0.14916666666666667
1928-03-01,-0.13916666666666666
1928-04-01,-0.13249999999999998
1928-05-01,-0.13
1928-06-01,-0.1325
1928-07-01,-0.13499999999999998
1928-08-01,-0.1475
1928-09-01,-0.14916666666666667
1928-10-01,-0.16416666666666666
1928-11-01,-0.1708333333333333
1928-12-01,-0.1575
1929-01-01,-0.18000000000000002
1929-02-01,-0.20750000000000002
1929-03-01,-0.21416666666666664
1929-04-01,-0.22916666666666666
1929-05-01,-0.24166666666666667
1929-06-01,-0.25833333333333336
1929-07-01,-0.2725
1929-08-01,-0.27416666666666667
1929-09-01,-0.2841666666666667
1929-10-01,-0.2816666666666667
1929-11-01,-0.28750000000000003
1929-12-01,-0.31583333333333335
1930-01-01,-0.31250000000000006
1930-02-01,-0.295
1930-03-01,-0.2833333333333333
1930-04-01,-0.26166666666666666
1930-05-01,-0.24750000000000003
1930-06-01,-0.22583333333333333
1930-07-01,-0.20166666666666666
1930-08-01,-0.19333333333333333
1930-09-01,-0.1875
1930-10-01,-0.18083333333333332
1930-11-01,-0.15083333333333335
1930-12-01,-0.11166666666666665
1931-01-01,-0.08750000000000001
1931-02-01,-0.08333333333333333
1931-03-01,-0.07500000000000001
1931-04-01,-0.07583333333333332
1931-05-01,-0.07250000000000001
1931-06-01,-0.06416666666666666
1931-07-01,-0.05833333333333333
1931-08-01,-0.04750000000000001
1931-09-01,-0.03416666666666667
1931-10-01,-0.02666666666666667
1931-11-01,-0.04583333333333334
1931-12-01,-0.049999999999999996
1932-01-01,-0.0375
1932-02-01,-0.03833333333333334
1932-03-01,-0.0425
1932-04-01,-0.0325
1932-05-01,-0.0325
1932-06-01,-0.04
1932-07-01,-0.05666666666666667
1932-08-01,-0.07833333333333334
1932-09-01,-0.08583333333333333
1932-10-01,-0.09250000000000001
1932-11-01,-0.11
1932-12-01,-0.12333333333333334
1933-01-01,-0.14666666666666667
1933-02-01,-0.15416666666666667
1933-03-01,-0.1625
1933-04-01,-0.1775
1933-05-01,-0.18499999999999997
1933-06-01,-0.1958333333333333
1933-07-01,-0.19833333333333333
1933-08-01,-0.19666666666666668
1933-09-01,-0.21666666666666665
1933-10-01,-0.22666666666666668
1933-11-01,-0.2283333333333333
1933-12-01,-0.24
1934-01-01,-0.24916666666666665
1934-02-01,-0.2325
1934-03-01,-0.2366666666666667
1934-04-01,-0.24166666666666667
1934-05-01,-0.2275
1934-06-01,-0.21583333333333335
1934-07-01,-0.20333333333333334
1934-08-01,-0.19000000000000003
1934-09-01,-0.16916666666666666
1934-10-01,-0.15583333333333335
1934-11-01,-0.12833333333333333
1934-12-01,-0.1025
1935-01-01,-0.10416666666666667
1935-02-01,-0.08750000000000002
1935-03-01,-0.07916666666666668
1935-04-01,-0.08750000000000001
1935-05-01,-0.10333333333333333
1935-06-01,-0.11666666666666668
1935-07-01,-0.11833333333333335
1935-08-01,-0.12166666666666666
1935-09-01,-0.12500000000000003
1935-10-01,-0.12833333333333333
1935-11-01,-0.14666666666666667
1935-12-01,-0.1525
1936-01-01,-0.15333333333333332
1936-02-01,-0.18666666666666668
1936-03-01,-0.18999999999999997
1936-04-01,-0.17166666666666666
1936-05-01,-0.16333333333333333
1936-06-01,-0.15416666666666667
1936-07-01,-0.14833333333333332
1936-08-01,-0.13999999999999999
1936-09-01,-0.13749999999999998
1936-10-01,-0.13166666666666668
1936-11-01,-0.12
1936-12-01,-0.11166666666666668
1937-01-01,-0.09250000000000001
1937-02-01,-0.06916666666666667
1937-03-01,-0.06833333333333334
1937-04-01,-0.06999999999999999
1937-05-01,-0.06166666666666667
1937-06-01,-0.050833333333333335
1937-07-01,-0.049166666666666664
1937-08-01,-0.04083333333333333
1937-09-01,-0.023333333333333334
1937-10-01,-0.01583333333333333
1937-11-01,-0.004166666666666666
1937-12-01,-0.008333333333333333
1938-01-01,-0.0008333333333333335
1938-02-01,0.0033333333333333335
1938-03-01,0.025833333333333333
1938-04-01,0.04416666666666667
1938-05-01,0.0425
1938-06-01,0.030000000000000002
1938-07-01,0.03
1938-08-01,0.021666666666666667
1938-09-01,0.014166666666666666
1938-10-01,0.014166666666666666
1938-11-01,0.01
1938-12-01,0.005833333333333334
1939-01-01,-0.0016666666666666663
1939-02-01,-0.01
1939-03-01,-0.03416666666666667
1939-04-01,-0.04833333333333333
1939-05-01,-0.04333333333333333
1939-06-01,-0.028333333333333335
1939-07-01,-0.02333333333333333
1939-08-01,-0.015000000000000001
1939-09-01,-0.020833333333333332
1939-10-01,-0.030833333333333334
