Year,Predicted_Poly
2025,1.2001369776808133
2026,1.2396488957565452
2027,1.2800717042955512
2028,1.3214169384555134
2029,1.3636961334304942
2030,1.4069208244145557
2031,1.4511025465581042
2032,1.4962528350770299
2033,1.542383225121739
2034,1.589505251879018
2035,1.6376304505429289
2036,1.68677035627843
2037,1.7369365042941354
2038,1.7881404297331756
2039,1.8403936678041646
2040,1.8937077536647848
2041,1.9480942225236504
2042,2.0035646095384436
2043,2.0601304498959507
2044,2.117803278782958
