Date,Anomaly
1944-05-01,0.03808333333333334
1944-06-01,0.04075
1944-07-01,0.04283333333333333
1944-08-01,0.04491666666666667
1944-09-01,0.04816666666666666
1944-10-01,0.050583333333333334
1944-11-01,0.05183333333333333
1944-12-01,0.05358333333333333
1945-01-01,0.057583333333333334
1945-02-01,0.05725
1945-03-01,0.059250000000000004
1945-04-01,0.06466666666666666
1945-05-01,0.06791666666666667
1945-06-01,0.07116666666666666
1945-07-01,0.07300000000000001
1945-08-01,0.07691666666666667
1945-09-01,0.07958333333333333
1945-10-01,0.08116666666666666
1945-11-01,0.08349999999999999
1945-12-01,0.08424999999999999
1946-01-01,0.08833333333333333
1946-02-01,0.09091666666666667
1946-03-01,0.09225
1946-04-01,0.09358333333333334
1946-05-01,0.09474999999999999
1946-06-01,0.09499999999999999
1946-07-01,0.0945
1946-08-01,0.09349999999999999
1946-09-01,0.09375
1946-10-01,0.09316666666666666
1946-11-01,0.09341666666666666
1946-12-01,0.09175
1947-01-01,0.09233333333333334
1947-02-01,0.09233333333333334
1947-03-01,0.09433333333333334
1947-04-01,0.09641666666666666
1947-05-01,0.09674999999999999
1947-06-01,0.09766666666666667
1947-07-01,0.09783333333333334
1947-08-01,0.0965
1947-09-01,0.09441666666666666
1947-10-01,0.09383333333333334
1947-11-01,0.09275000000000001
1947-12-01,0.09216666666666667
1948-01-01,0.09200000000000001
1948-02-01,0.09083333333333334
1948-03-01,0.08841666666666666
1948-04-01,0.0875
1948-05-01,0.08891666666666667
1948-06-01,0.08991666666666666
1948-07-01,0.08983333333333335
1948-08-01,0.08966666666666666
1948-09-01,0.08833333333333333
1948-10-01,0.08725000000000001
1948-11-01,0.08608333333333333
1948-12-01,0.08508333333333333
1949-01-01,0.08633333333333333
1949-02-01,0.08591666666666667
1949-03-01,0.08791666666666666
1949-04-01,0.08841666666666666
1949-05-01,0.08841666666666666
1949-06-01,0.08716666666666666
1949-07-01,0.08625
1949-08-01,0.08491666666666667
1949-09-01,0.08391666666666667
1949-10-01,0.08358333333333333
1949-11-01,0.08191666666666667
1949-12-01,0.07716666666666666
1950-01-01,0.07458333333333332
1950-02-01,0.07183333333333335
1950-03-01,0.07024999999999999
1950-04-01,0.06691666666666667
1950-05-01,0.06566666666666666
1950-06-01,0.06508333333333333
1950-07-01,0.06391666666666666
1950-08-01,0.06275
1950-09-01,0.06125
1950-10-01,0.058249999999999996
1950-11-01,0.05425
1950-12-01,0.049499999999999995
1951-01-01,0.04533333333333334
1951-02-01,0.0395
1951-03-01,0.03725
1951-04-01,0.03391666666666667
1951-05-01,0.03241666666666666
1951-06-01,0.031249999999999997
1951-07-01,0.02983333333333333
1951-08-01,0.028749999999999998
1951-09-01,0.029
1951-10-01,0.027416666666666666
1951-11-01,0.025166666666666664
1951-12-01,0.02425
1952-01-01,0.022916666666666665
1952-02-01,0.02383333333333333
1952-03-01,0.023
1952-04-01,0.022583333333333334
1952-05-01,0.021666666666666664
1952-06-01,0.020583333333333332
1952-07-01,0.020916666666666663
1952-08-01,0.021083333333333332
1952-09-01,0.021249999999999998
1952-10-01,0.021416666666666664
1952-11-01,0.01991666666666667
1952-12-01,0.01958333333333333
1953-01-01,0.02041666666666667
1953-02-01,0.021166666666666667
1953-03-01,0.022916666666666665
1953-04-01,0.02408333333333333
1953-05-01,0.025333333333333333
1953-06-01,0.027666666666666666
1953-07-01,0.027
1953-08-01,0.027000000000000003
1953-09-01,0.026666666666666665
1953-10-01,0.025500000000000002
1953-11-01,0.023666666666666666
1953-12-01,0.02233333333333333
1954-01-01,0.018333333333333333
1954-02-01,0.015416666666666667
1954-03-01,0.011833333333333333
1954-04-01,0.008916666666666666
1954-05-01,0.0055
1954-06-01,0.0029999999999999988
1954-07-01,0.0010833333333333326
1954-08-01,-0.0012500000000000007
1954-09-01,-0.004750000000000001
1954-10-01,-0.0071666666666666675
1954-11-01,-0.008583333333333333
1954-12-01,-0.011166666666666667
1955-01-01,-0.011750000000000002
1955-02-01,-0.013916666666666666
1955-03-01,-0.017
1955-04-01,-0.021083333333333336
1955-05-01,-0.023500000000000004
1955-06-01,-0.025500000000000002
1955-07-01,-0.02716666666666667
1955-08-01,-0.029750000000000002
1955-09-01,-0.03216666666666666
1955-10-01,-0.033749999999999995
1955-11-01,-0.03666666666666667
1955-12-01,-0.03891666666666667
1956-01-01,-0.04133333333333334
1956-02-01,-0.043000000000000003
1956-03-01,-0.04375
1956-04-01,-0.045916666666666675
1956-05-01,-0.04800000000000001
1956-06-01,-0.04816666666666667
1956-07-01,-0.04808333333333333
1956-08-01,-0.049
1956-09-01,-0.05025
1956-10-01,-0.05175
1956-11-01,-0.052916666666666674
1956-12-01,-0.051416666666666666
1957-01-01,-0.05175
1957-02-01,-0.05233333333333333
1957-03-01,-0.05333333333333334
1957-04-01,-0.05366666666666667
1957-05-01,-0.05275
1957-06-01,-0.05191666666666667
1957-07-01,-0.051333333333333335
1957-08-01,-0.04933333333333333
1957-09-01,-0.04741666666666667
1957-10-01,-0.04716666666666667
1957-11-01,-0.04658333333333334
1957-12-01,-0.04475
1958-01-01,-0.04183333333333333
1958-02-01,-0.03941666666666667
1958-03-01,-0.036583333333333336
1958-04-01,-0.035583333333333335
1958-05-01,-0.03575
1958-06-01,-0.03491666666666667
1958-07-01,-0.033666666666666664
1958-08-01,-0.033166666666666664
1958-09-01,-0.03233333333333333
1958-10-01,-0.03183333333333334
1958-11-01,-0.03116666666666667
1958-12-01,-0.02866666666666667
1959-01-01,-0.028416666666666666
1959-02-01,-0.02666666666666667
1959-03-01,-0.025
1959-04-01,-0.023333333333333334
1959-05-01,-0.022583333333333334
1959-06-01,-0.0205
1959-07-01,-0.019083333333333334
1959-08-01,-0.018000000000000002
1959-09-01,-0.016666666666666666
1959-10-01,-0.01616666666666667
1959-11-01,-0.015666666666666666
1959-12-01,-0.014583333333333335
1960-01-01,-0.012666666666666666
1960-02-01,-0.009666666666666665
1960-03-01,-0.011166666666666667
1960-04-01,-0.010583333333333333
1960-05-01,-0.011250000000000001
1960-06-01,-0.011333333333333334
1960-07-01,-0.010833333333333334
1960-08-01,-0.009666666666666667
1960-09-01,-0.008416666666666666
1960-10-01,-0.006416666666666668
1960-11-01,-0.004916666666666667
1960-12-01,-0.001250000000000001
1961-01-01,0.002416666666666666
1961-02-01,0.007
1961-03-01,0.009083333333333332
1961-04-01,0.011583333333333333
1961-05-01,0.012499999999999999
1961-06-01,0.013333333333333334
1961-07-01,0.013583333333333334
1961-08-01,0.01325
1961-09-01,0.012666666666666666
1961-10-01,0.0115
1961-11-01,0.01175
1961-12-01,0.009333333333333334
1962-01-01,0.008666666666666666
1962-02-01,0.009000000000000001
1962-03-01,0.0105
1962-04-01,0.010166666666666666
1962-05-01,0.009833333333333333
1962-06-01,0.010083333333333333
1962-07-01,0.009833333333333335
1962-08-01,0.009250000000000001
1962-09-01,0.008833333333333334
1962-10-01,0.008749999999999999
1962-11-01,0.01025
1962-12-01,0.01025
1963-01-01,0.009583333333333334
1963-02-01,0.009833333333333333
1963-03-01,0.007583333333333333
1963-04-01,0.0052499999999999995
1963-05-01,0.0035833333333333333
1963-06-01,0.002333333333333333
1963-07-01,0.0029166666666666664
1963-08-01,0.004333333333333333
1963-09-01,0.005666666666666667
1963-10-01,0.005916666666666667
1963-11-01,0.006916666666666667
1963-12-01,0.006833333333333334
1964-01-01,0.007833333333333335
1964-02-01,0.007499999999999999
1964-03-01,0.006833333333333334
1964-04-01,0.005916666666666666
1964-05-01,0.005666666666666666
1964-06-01,0.006166666666666667
1964-07-01,0.006500000000000001
1964-08-01,0.006416666666666667
1964-09-01,0.005166666666666667
1964-10-01,0.0030833333333333333
1964-11-01,0.0007499999999999997
1964-12-01,-0.00016666666666666704
1965-01-01,-0.0018333333333333337
1965-02-01,-0.0016666666666666672
1965-03-01,-0.0003333333333333341
1965-04-01,-8.33333333333341e-05
1965-05-01,0.000166666666666666
1965-06-01,0.0004999999999999991
1965-07-01,0.0006666666666666659
1965-08-01,0.00016666666666666585
1965-09-01,0.0001666666666666659
1965-10-01,0.0007499999999999991
1965-11-01,0.0026666666666666657
1965-12-01,0.004666666666666665
1966-01-01,0.004166666666666667
1966-02-01,0.005333333333333332
1966-03-01,0.006416666666666666
1966-04-01,0.007499999999999998
1966-05-01,0.009166666666666665
1966-06-01,0.01075
1966-07-01,0.012583333333333334
1966-08-01,0.0145
1966-09-01,0.016166666666666666
1966-10-01,0.017
1966-11-01,0.017916666666666668
1966-12-01,0.01783333333333333
1967-01-01,0.017333333333333333
1967-02-01,0.016416666666666666
1967-03-01,0.017333333333333333
1967-04-01,0.016833333333333332
1967-05-01,0.0175
1967-06-01,0.016
