Year,Linear_future,Quad_future,Piecewise_future
2026,0.8521849834983499,1.1346179517951798,1.090289233129642
2027,0.8636375849349642,1.1626842572492546,1.1113772589359832
2028,0.8750901863715784,1.1910731588978432,1.1324652847423242
2029,0.8865427878081927,1.2197846567409458,1.1535533105486655
2030,0.8979953892448069,1.248818750778562,1.1746413363550066
2031,0.9094479906814212,1.278175441010692,1.1957293621613476
2032,0.9209005921180354,1.3078547274373356,1.2168173879676887
2033,0.9323531935546497,1.3378566100584934,1.23790541377403
2034,0.9438057949912639,1.3681810888741648,1.258993439580371
2035,0.9552583964278782,1.39882816388435,1.2800814653867123
2036,0.9667109978644924,1.4297978350890488,1.3011694911930534
2037,0.9781635993011067,1.4610901024882619,1.3222575169993944
2038,0.9896162007377209,1.4927049660819884,1.3433455428057357
2039,1.0010688021743352,1.524642425870229,1.3644335686120768
2040,1.0125214036109496,1.556902481852983,1.3855215944184178
2041,1.0239740050475636,1.5894851340302512,1.4066096202247589
2042,1.0354266064841782,1.622390382402033,1.4276976460311
2043,1.0468792079207923,1.6556182269683284,1.4487856718374412
2044,1.0583318093574066,1.6891686677291378,1.4698736976437825
2045,1.0697844107940209,1.7230417046844608,1.4909617234501236
